geo_pict,country,year,sea_level_anomaly_m,rainfall_anomaly_mm,temp_anomaly_c,population_growth_pct,tourist_arrivals,persons_affected,economic_loss_usd
FJ,Fiji,1979,,4.7,,,,,
FJ,Fiji,1980,,11.9,,,,,
FJ,Fiji,1981,,4.7,,,,,
FJ,Fiji,1982,,7.7,,,,,
FJ,Fiji,1983,,-11.1,,,,,
FJ,Fiji,1984,,3.6,,,,,
FJ,Fiji,1985,,12.7,,,,,
FJ,Fiji,1986,,8.6,,,,,
FJ,Fiji,1987,,-21.8,,,,,
FJ,Fiji,1988,,6.5,,,,,
FJ,Fiji,1989,,6.2,,,,,
FJ,Fiji,1990,,0.2,0.1,0.91,,,
FJ,Fiji,1991,,-9.4,-0.1,0.82,,,
FJ,Fiji,1992,,-15.3,-0.2,0.73,,,
FJ,Fiji,1993,0.0,-4.6,-0.5,0.64,,,
FJ,Fiji,1994,0.0,-9.7,-0.4,0.56,,,
FJ,Fiji,1995,0.0,-10.9,0.2,0.5,476000.0,,
FJ,Fiji,1996,0.0,10.3,0.3,0.63,534000.0,,
FJ,Fiji,1997,0.0,8.9,-0.2,1.04,547000.0,,
FJ,Fiji,1998,0.0,-24.2,0.0,1.25,499000.0,,
FJ,Fiji,1999,0.0,19.6,0.4,1.16,544000.0,,
FJ,Fiji,2000,0.1,21.7,0.5,1.09,434000.0,,
FJ,Fiji,2001,0.0,-1.8,0.4,1.03,446000.0,,
FJ,Fiji,2002,0.0,-0.1,0.3,1.0,461000.0,,
FJ,Fiji,2003,0.0,-17.8,0.2,0.96,451000.0,,
FJ,Fiji,2004,0.0,-10.0,0.2,0.93,513000.0,,
FJ,Fiji,2005,0.0,-5.1,0.3,0.92,547000.0,0.0,
FJ,Fiji,2006,0.0,-10.9,0.2,0.9,,60.0,
FJ,Fiji,2007,0.0,10.9,0.4,0.84,542000.0,12.0,
FJ,Fiji,2008,0.1,5.4,0.6,0.62,627000.0,804.0,
FJ,Fiji,2009,0.1,14.4,0.1,0.42,605000.0,12692.0,
FJ,Fiji,2010,0.0,0.2,0.4,0.35,692000.0,6644.0,24623058.0
FJ,Fiji,2011,0.1,10.5,0.6,0.28,734000.0,344.0,1224504.0
FJ,Fiji,2012,0.1,23.9,0.4,0.21,741000.0,37085.0,141400784.0
FJ,Fiji,2013,0.1,8.1,0.6,0.16,769000.0,0.0,
FJ,Fiji,2014,0.0,-14.4,0.4,0.13,781000.0,0.0,
FJ,Fiji,2015,0.0,-21.0,-0.2,0.11,869000.0,0.0,
FJ,Fiji,2016,0.0,-0.7,0.4,0.06,963000.0,633584.0,374109863.0
FJ,Fiji,2017,0.1,-2.1,0.5,-0.04,1027000.0,0.0,
FJ,Fiji,2018,0.1,1.8,0.5,-0.17,1058000.0,155726.0,50247780.0
FJ,Fiji,2019,0.1,19.9,0.4,-0.25,969000.0,78045.0,1090125.0
FJ,Fiji,2020,0.1,2.1,0.6,0.01,168200.0,235921.0,24247724.0
FJ,Fiji,2021,0.1,8.1,0.7,0.19,32000.0,78030.0,
FJ,Fiji,2022,0.2,12.7,1.1,0.3,652200.0,1787.0,
